tjobname;stage;COI-setup-start;COI-setup-end;tjob-setup-start;tjob-setup-end;tjob-testexec-start;tjob-testexec-end;tjob-teardown-start;tjob-teardown-end;coi-teardown-start;coi-teardown-end
tjobc;0;1686485115;1686485118;1686485119;1686485153;1686485154;1686485225;1686485225;1686485227;1686485864;1686485864
tjobd;0;1686485115;1686485118;1686485119;1686485158;1686485158;1686485234;1686485234;1686485236;1686485864;1686485864
tjobe;0;1686485115;1686485118;1686485119;1686485158;1686485159;1686485221;1686485222;1686485224;1686485864;1686485864
tjobf;3;1686485115;1686485118;1686485692;1686485726;1686485727;1686485821;1686485821;1686485823;1686485864;1686485864
tjobg;2;1686485115;1686485118;1686485546;1686485584;1686485584;1686485690;1686485690;1686485692;1686485864;1686485864
tjobh;1;1686485115;1686485118;1686485237;1686485271;1686485271;1686485316;1686485316;1686485318;1686485864;1686485864
tjobi;1;1686485115;1686485118;1686485237;1686485272;1686485272;1686485325;1686485325;1686485327;1686485864;1686485864
tjobj;1;1686485115;1686485118;1686485237;1686485272;1686485272;1686485543;1686485543;1686485545;1686485864;1686485864
tjobk;3;1686485115;1686485118;1686485692;1686485730;1686485731;1686485862;1686485862;1686485864;1686485864;1686485864
tjobl;3;1686485115;1686485118;1686485692;1686485731;1686485731;1686485794;1686485794;1686485797;1686485864;1686485864
tjobm;2;1686485115;1686485118;1686485546;1686485584;1686485584;1686485662;1686485662;1686485664;1686485864;1686485864
tjobn;2;1686485115;1686485118;1686485546;1686485584;1686485585;1686485657;1686485657;1686485659;1686485864;1686485864
