tjobname;stage;COI-setup-start;COI-setup-end;tjob-setup-start;tjob-setup-end;tjob-testexec-start;tjob-testexec-end;tjob-teardown-start;tjob-teardown-end;coi-teardown-start;coi-teardown-end
tjobc;0;1686375635;1686375639;1686375639;1686375692;1686375692;1686375771;1686375772;1686375774;1686376399;1686376399
tjobd;0;1686375635;1686375639;1686375639;1686375692;1686375693;1686375775;1686375775;1686375778;1686376399;1686376399
tjobe;0;1686375635;1686375639;1686375639;1686375692;1686375692;1686375764;1686375764;1686375766;1686376399;1686376399
tjobf;3;1686375635;1686375639;1686376225;1686376261;1686376261;1686376359;1686376359;1686376361;1686376399;1686376399
tjobg;2;1686375635;1686375639;1686376084;1686376121;1686376121;1686376223;1686376223;1686376225;1686376399;1686376399
tjobh;1;1686375635;1686375639;1686375778;1686375812;1686375812;1686375873;1686375873;1686375876;1686376399;1686376399
tjobi;1;1686375635;1686375639;1686375778;1686375808;1686375809;1686375857;1686375857;1686375860;1686376399;1686376399
tjobj;1;1686375635;1686375639;1686375778;1686375813;1686375813;1686376081;1686376081;1686376084;1686376399;1686376399
tjobk;3;1686375635;1686375639;1686376225;1686376265;1686376266;1686376396;1686376396;1686376398;1686376399;1686376399
tjobl;3;1686375635;1686375639;1686376225;1686376265;1686376266;1686376326;1686376327;1686376329;1686376399;1686376399
tjobm;2;1686375635;1686375639;1686376084;1686376115;1686376115;1686376192;1686376192;1686376195;1686376399;1686376399
tjobn;2;1686375635;1686375639;1686376084;1686376116;1686376116;1686376190;1686376190;1686376193;1686376399;1686376399
